velut,551
victōria -ae f.,248
videō vidēre vīdī vīsum,967
vincō vincere vīcī victum,897
vinculum -ī n.,404
vīnum -ī n.,358
vir virī m.,913
virgō -inis f.,580
virtūs -ūtis f.,887
vīs f.,883
vīta -ae f.,911
vitium -ī n.,672
vītō -āre,117
vīvō vīvere vīxī vīctum,842
victor -ōris m.,658
vīcīnus -a -um,58
via -ae f.,802
veniō venīre vēnī ventum,935
ventus -ī m.,729
verbum -ī n.,810
vērē,15
vereor verērī veritus sum,114
vērō,718
vertō vertere vertī versum,710
vērus -a -um,588
vester vestra vestrum,716
vestīgium -ī n.,282
uxor uxōris f.,446
vetō -āre vetuī vetītum,333
vetus veteris,703
vix,646
vestis -is f.,585
vōx vōcis f.,829
urbs urbis f.,916
ūsque,471
ūsus -ūs m.,552
"ut, utī",983
uterque utraque utrumque,755
ūtilis -e,148
ūtor ūtī ūsus sum,668
utrum,171
vulgō,7
vulgus -ī n. and m.,323
vulnus -eris n.,671
vultus -ūs m.,789
vōtum -ī n.,664
vōs,868
voluptās -ātis f.,620
ūllus -a -um,820
ultimus -a -um,566
ultrā,398
umbra -ae f.,741
umquam,516
unda -ae f.,791
unde,698
undique,312
voluntās -ātis f.,139
volucris -is f./m.,22
volucer -cris -cre,21
volō velle voluī,932
vocō -āre,840
ūnus -a -um,945
suus -a -um,971
sustineō sustinēre sustinuī sustentum,236
suscipiō -cipere -cēpī ceptum,61
surgō surgere surrēxī surrēctum,428
suprā,410
superus -a -um,899
supersum -esse -fuī,375
superō -āre,330
superī -ōrum m. pl.,284
taceō -ēre -uī -itum,629
tālis tāle,795
tam,902
tegō tegere tēxī tēctum,622
tēctum -ī n.,612
tardus -a -um,260
tantus -a -um,893
"tantum, tantummodo",782
tangō tangere tetigī tāctum,464
tandem,571
tamquam,635
tamen,940
superbus -a -um,342
super,597
sūmō sūmere sūmpsī sūmptum,544
spīritus -ūs m.,295
spēs speī f.,766
spērō -āre,350
spectō -āre,525
speciēs -ēī f.,399
spatium -ī n.,572
spargō spargere sparsī sparsum,466
sors sortis f.,359
soror -ōris f.,501
statim,200
statuō -ere -uī -ūtum,320
sum esse fuī futūrum,996
sui sibi sē/sēsē,981
subitō,150
subeō -īre -iī -itum,460
sub,880
studium -ī n.,548
studeō -ēre -uī,9
stō stāre stetī statum,830
stella -ae f.,64
sonō sonāre sonuī sonitum,415
supplicium -ī n.,315
tuus -a -um,954
tūtus -a -um,633
turpis -e,621
turbō -āre,130
turba -ae f.,675
tum or tunc,942
tū tuī tibi tē,989
trīstis -e,723
tribūnus -ī m.,191
vacō vacāre,274
vacuus -a -um,325
vagus -a -um,324
vel,857
vehō vehere vēxī vectum,366
ve,691
ubi,906
vātēs -is m.,314
varius -a -um,367
vanus -a -um,142
validus -a -um,182
valeō valēre valuī,459
trēs tria,465
trānseō -īre -iī -itum,567
trahō trahere trāxī trāctum,785
temptō -āre,568
tener -era -erum,508
teneō -ēre -uī tentum,892
tenebrae -brārum f. pl.,223
tendō tendere tetendī tentum,469
tempus -oris n.,909
templum -ī n.,513
tempestas -tātis f.,245
tēlum -ī n.,743
tellus tellūris f.,661
tergum -ī n.,524
terra -ae f.,928
trādō -dere -didī -ditum,701
tōtus -a -um,920
tot,739
tollō tollere sustulī sublātum,705
terreō terrēre terruī territum,293
timor -ōris m.,462
timeō -ēre -uī,845
testis -is m.,257
tertius -a -um,316
rīpa -ae f.,336
rīdeō -ēre rīsī rīsum,124
rēx rēgis m.,938
reus -ī m.,110
revocō -āre,185
revertō -vertere -vertī,3
retineō -tinēre -tinuī -tentum,351
respondeō -spondēre -spondī -spōnsum,463
respicio -ere -spēxī -spectum,276
rēs reī f.,960
repetō -petere -petīvī -petītum,347
rogō -āre,447
rumpō rumpere rūpī ruptum,518
sanguis -inis m.,784
sānctus -a -um,339
salūs -ūtis f.,449
saevus -a -um,754
saepe,853
saeculum -ī n.,222
